year,category,nominee,winner,secondarynominee,gender,order
1995,Best Original Song - Motion Picture,Junior,FALSE,Carole Bayer Sager,F,1
1995,Best Original Song - Motion Picture,Color of Night,FALSE,Lauren Christy,F,2
1995,Best Original Song - Motion Picture,Junior,FALSE,Patty Smyth,F,3
1995,Best Director - Motion Picture,Robert Zemeckis,TRUE,Forrest Gump,M,4
1995,Best Director - Motion Picture,Edward Zwick,FALSE,Legends of the Fall,M,5
1995,Best Director - Motion Picture,Oliver Stone,FALSE,Natural Born Killers,M,6
1995,Best Director - Motion Picture,Quentin Tarantino,FALSE,Pulp Fiction,M,7
1995,Best Director - Motion Picture,Robert Redford,FALSE,Quiz Show,M,8
1995,Best Original Score - Motion Picture,The Lion King,TRUE,Hans Zimmer,M,9
1995,Best Original Score - Motion Picture,Forrest Gump,FALSE,Alan Silvestri,M,10
1995,Best Original Score - Motion Picture,Interview with the Vampire: The Vampire Chronicles,FALSE,Elliot Goldenthal,M,11
1995,Best Original Score - Motion Picture,Legends of the Fall,FALSE,James Horner,M,12
1995,Best Original Score - Motion Picture,Nell,FALSE,Mark Isham,M,13
1995,Best Original Song - Motion Picture,The Lion King,TRUE,Elton John,M,14
1995,Best Original Song - Motion Picture,Color of Night,FALSE,Jud Friedman,M,15
1995,Best Original Song - Motion Picture,The Lion King,FALSE,Elton John,M,16
1995,Best Original Song - Motion Picture,The Swan Princess,FALSE,Lex de Azevedo,M,17
1995,Best Original Song - Motion Picture,The Lion King,TRUE,Tim Rice,M,18
1995,Best Original Song - Motion Picture,Color of Night,FALSE,Dominic Frontiere,M,19
1995,Best Original Song - Motion Picture,Junior,FALSE,James Ingram,M,20
1995,Best Original Song - Motion Picture,Junior,FALSE,James Newton Howard,M,21
1995,Best Original Song - Motion Picture,The Lion King,FALSE,Tim Rice,M,22
1995,Best Original Song - Motion Picture,The Swan Princess,FALSE,David Zippel,M,23
1995,Best Screenplay - Motion Picture,Pulp Fiction,TRUE,Quentin Tarantino,M,24
1995,Best Screenplay - Motion Picture,Forrest Gump,FALSE,Eric Roth,M,25
1995,Best Screenplay - Motion Picture,Four Weddings and a Funeral,FALSE,Richard Curtis,M,26
1995,Best Screenplay - Motion Picture,Quiz Show,FALSE,Paul Attanasio,M,27
